country,import_value_2000,import_value_2001,import_value_2002,import_value_2003,import_value_2004,import_value_2005,import_value_2006,import_value_2007,import_value_2008,import_value_2009,import_value_2010,import_value_2011,import_value_2012,import_value_2013,import_value_2014,import_value_2015,import_value_2016,import_value_2017,import_value_2018,import_value_2019,import_value_2020
Thailand,1026.5,1063.6,1227.4,1392.6,1976.2,2246.5,2701.5,3054.3,3661.3,3233.8,4566.6,5896.7,6635.1,6061.9,5783.1,5507.3,5394,6473.7,6820.9,6218.4,5110.3
Singapura,6562.4,5363.9,5349.1,5399.7,6001.2,7836.6,8929.8,10501.6,12862,10262.7,13723.3,18443.9,17135,16686.3,16728.3,12632.6,11861,12724.9,12915,12916.7,10661.9
Filipina,819.5,814.8,778.2,944.7,1237.6,1419.1,1405.7,1853.7,2053.6,2405.9,3180.7,3699,3707.6,3817,3887.8,3921.7,5270.9,6629.6,6832.2,6770.1,5900.7
Malaysia,1971.8,1778.6,2029.9,2363.9,3016,3431.3,4110.8,5096.1,6432.5,6811.8,9362.3,10995.8,11278.3,10666.6,9730,7630.9,7069.5,8441.1,9271.6,8801.8,8098.8
Myanmar,64.8,69,54.4,45.7,60.3,78,137.7,262.4,250.8,174.8,284.2,359.5,401.6,556.4,566.9,615.7,615.7,827.5,897.6,875.6,1031.9
Kamboja,51.7,72.1,68.8,79.9,71.8,93.9,103.6,121.8,174,201.2,217.7,259.5,292.2,312.4,415.8,429.7,426.9,513.9,525.6,618.5,541.3
Brunei Darussalam,25.5,21.6,32.1,30.4,31.8,39.3,37.6,43.4,59.7,74.9,61,81.7,81.8,122.7,100.3,91.2,88.7,64.5,61.2,103.2,129
Laos,0.9,1.4,0.7,0.5,1.6,1.8,4.3,3.7,4,4.7,5.5,8.6,23.8,5.8,4.6,7.7,5.9,4.2,7.3,6.8,5.1
Vietnam,360.6,322.1,392.9,468.1,601,678.4,1052,1355.1,1672.9,1454.2,1946.2,2354.2,2273.7,2400.9,2451.3,2740.2,3045.6,3586.9,4581.9,5153.4,4941.4
Jepang,14415.2,13010.2,12045.1,13603.5,15962.1,18049.1,21732.1,23632.8,27743.9,18574.7,25781.8,33714.7,30135.1,27086.3,23117.5,18020.9,16098.6,17798.8,19465.6,16003.3,13664.7
Hongkong,1554.1,1290.3,1242.3,1183.3,1387.5,1492.3,1703.2,1687.5,1808.8,2111.8,2501.4,3215.5,2631.9,2693.3,2777.6,2067.2,2144.9,2405.8,2557.6,2501.7,2034.9
Korea Selatan,,,4107.2,4323.8,4830.2,7085.6,7693.5,7582.7,9116.8,8145.2,12574.6,16388.8,15049.9,11422.5,10601.1,7664.4,7008.9,8200.3,9540.1,7234.4,6507.6
Taiwan,,,2067.5,2233.1,2854.3,2475,2734.8,2596.7,3154.7,3382.1,4837.6,6584.9,6242.5,5862.4,6425.1,5043.5,3655.8,4229.2,4703.1,4034.8,4097.4
Tiongkok,,,2902.9,3802.5,4604.7,6662.4,8343.6,9675.5,11636.5,11499.3,15692.6,22941,21659.5,22601.5,17605.9,15046.4,16790.8,23083.1,27132.2,27961.9,31781.8
Australia,1519.4,1844.9,1924.4,1791.6,1887.4,2227.6,2771.3,3394.6,4111,3264.2,4244.4,5582.5,4905.4,4370.5,4948.4,3702.3,3208.9,2524.4,2819.6,2328.6,2505.7
Selandia Baru,,,,,187.2,275.3,320,362.2,542.3,349.5,396.2,371.7,441,469.5,481.4,436.2,366.6,437.4,490.7,447.5,480
Oceania Lainnya,174.6,241.1,246.3,258.1,70.1,85.6,96.4,73.6,167,243,249.8,348.9,336.4,367.5,308.6,295,338.1,302.6,269.6,289.8,304.5
Amerika Serikat,8475.4,7748.7,7558.6,7373.7,8767.3,9868.5,11232.1,11614.2,13036.9,10850,14266.6,16459.1,14874.4,15691.7,16530.1,16240.8,16141.4,17794.5,18439.8,17844.6,18622.5
Kanada,403.9,390.2,378,382.1,436.5,464.3,551,550.6,645.4,512.5,731.9,960.3,792.4,782.3,755,722.3,732.4,821.2,913.9,858.2,789.1
Meksiko,,,264.2,238.1,279.4,277.1,318.1,361,426.1,384,762.7,658.4,649.9,687.3,850.9,824,815.1,986.6,905.3,939.3,936.5
Inggris,1507.9,1383.1,1252.4,1135.8,1295.3,1291.5,1432.4,1454.2,1546.9,1459.3,1693.2,1719.7,1696.8,1634.8,1658.6,1527.1,1590.4,1406.1,1465.3,1351.5,1283.4
Belanda,1837.4,1498.2,1618.4,1401.5,1797.5,2233.5,2518.4,2749.4,3926.4,2909.1,3722.5,5132.5,4664.3,4106,3984.6,3442.2,3254.9,4037.8,3896.6,3205,3113.7
Perancis,718.3,662.7,648.9,652.8,659.8,624,724.4,802.9,938.5,870.2,1122.8,1284.6,1128.2,1062.7,1019.3,973,872.7,975.9,1006.8,1013.3,916.3
Jerman,1443.1,1297,1269.9,1416.8,1654.6,1781.6,2025.7,2316,2465.2,2326.7,2984.7,3304.7,3075,2883.4,2821.6,2664.2,2638.7,2668.2,2708.2,2405.8,2456.3
Belgia,840.6,772.1,782.8,902.9,915.6,997.3,1136.3,1332.2,1351,1048.3,1190.1,1374.7,1297.7,1259.3,1217.3,1113.3,1125.7,1241.3,1261.2,1075.7,1220.4
Denmark,135.3,108.8,102.5,95.8,112.2,127.2,142.8,140.8,170.9,168.8,180.2,250.2,229.4,224.5,226.6,207,187.6,192.9,201.3,195.3,163.9
Swedia,112.8,118.1,127.7,110.4,115.2,108.1,135.4,109.8,134.1,144.3,156.5,170.4,166.3,162.4,177.1,146.8,144.7,149.5,161.2,155.7,172.3
Finlandia,139.9,116.2,145.1,132.1,148.3,183.5,176.6,121.3,108.4,61.2,122.7,219,197.8,149.1,111.4,84.9,83.9,88.4,85.1,76.6,60.8
Italia,757.8,621.8,719.8,843.9,922.6,1007.2,1213,1380,1900.7,1651.1,2370,3168.3,2277,2128.6,2286.9,1872.9,1572.1,1932.6,1920.9,1749.3,1746.2
Spanyol,932.2,903.6,996.4,1022.4,837.5,1205.5,1641.1,1906.2,1665.3,1830.5,2328.7,2427.9,2069.3,1810.4,1937.6,1481.3,1579.3,2010.1,2253.3,1599.2,1515.7
Yunani,98.6,94,88.5,95.1,92.5,104.8,125.8,233.5,214.3,165.7,155.4,157.5,139.9,149.2,157.4,143.9,142.2,181.3,230.9,214.8,209.6
Polandia,,,111.2,96.2,101.7,115.4,143.5,190.9,274.1,259.7,313.3,379.5,340,365.4,396,358.9,370,384.2,461.2,483.8,441.1
Uni Eropa Lainnya,331.2,350.4,298.1,324.7,440.6,547,614.5,607.3,758.7,673.2,787.3,919.9,745.6,827.9,924.5,827,892.6,1068.1,1435.1,1090.7,1064.1
